EmployeeNumber,Age,Gender,MaritalStatus,BusinessTravel,Education,EducationField,Department,JobRole,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,DistanceFromHome,TrainingTimesLastYear
23,53,Female,Married,Travel_Rarely,4,Life Sciences,Sales,Manager,31,25,8,3,7,2,2,3
24,38,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,6,3,2,1,2,5,2,3
26,24,Female,Divorced,Non-Travel,2,Other,Research & Development,Manufacturing Director,5,4,2,1,3,0,11,5
27,36,Male,Single,Travel_Rarely,4,Life Sciences,Sales,Sales Representative,10,5,3,0,3,7,9,4
28,34,Female,Single,Travel_Rarely,4,Life Sciences,Research & Development,Research Director,13,12,6,2,11,0,7,4
30,21,Male,Single,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,0,0,0,0,0,1,15,6
31,34,Male,Single,Travel_Rarely,1,Medical,Research & Development,Research Scientist,8,4,2,1,3,2,6,2
32,53,Female,Divorced,Travel_Rarely,3,Other,Research & Development,Manager,26,14,13,4,8,4,5,3
33,32,Female,Single,Travel_Frequently,1,Life Sciences,Research & Development,Research Scientist,10,10,2,6,7,1,16,5
35,42,Male,Married,Travel_Rarely,4,Marketing,Sales,Sales Executive,10,9,7,4,2,0,8,2
36,44,Female,Married,Travel_Rarely,4,Medical,Research & Development,Healthcare Representative,24,22,6,5,17,3,7,4
38,46,Female,Single,Travel_Rarely,4,Marketing,Sales,Manager,22,2,2,2,1,3,2,2
39,33,Male,Single,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,7,1,1,0,0,4,2,3
40,44,Male,Married,Travel_Rarely,4,Other,Research & Development,Healthcare Representative,9,4,2,1,3,2,10,5
41,30,Male,Single,Travel_Rarely,2,Medical,Research & Development,Laboratory Technician,10,10,0,1,8,1,9,5
42,39,Male,Married,Travel_Rarely,3,Technical Degree,Sales,Sales Representative,19,1,0,0,0,3,5,6
45,24,Male,Married,Travel_Rarely,3,Medical,Research & Development,Research Scientist,6,2,0,2,0,2,1,2
46,43,Female,Divorced,Travel_Rarely,2,Medical,Research & Development,Research Scientist,6,5,3,1,4,1,2,3
47,50,Male,Married,Travel_Rarely,2,Marketing,Sales,Sales Representative,3,3,2,0,2,1,3,2
49,35,Female,Married,Travel_Rarely,3,Marketing,Sales,Sales Representative,2,2,2,2,2,1,2,3
51,36,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,6,1,1,0,0,9,5,3
52,33,Female,Married,Travel_Frequently,3,Life Sciences,Sales,Sales Executive,10,5,3,1,3,2,1,3
53,35,Male,Divorced,Travel_Rarely,2,Other,Research & Development,Laboratory Technician,1,1,0,0,0,1,4,3
54,27,Female,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,0,1,2,6
55,26,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,1,1,25,2
56,27,Male,Single,Travel_Frequently,3,Life Sciences,Sales,Sales Executive,9,9,8,1,7,1,8,0
57,30,Female,Single,Travel_Frequently,2,Medical,Research & Development,Laboratory Technician,12,12,8,3,7,1,1,2
58,41,Female,Married,Travel_Rarely,3,Technical Degree,Research & Development,Research Director,23,22,15,15,8,1,12,0
60,34,Male,Single,Non-Travel,4,Marketing,Sales,Sales Executive,10,9,5,8,7,0,23,2
61,37,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,8,1,0,0,0,4,19,1
62,46,Male,Single,Travel_Frequently,4,Marketing,Sales,Sales Executive,14,9,6,0,8,4,5,4
63,35,Male,Married,Travel_Rarely,1,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,1,1,8,2
64,48,Male,Single,Travel_Rarely,2,Life Sciences,Research & Development,Laboratory Technician,23,1,0,0,0,9,1,2
65,28,Male,Single,Travel_Rarely,4,Technical Degree,Research & Development,Laboratory Technician,2,2,2,2,2,1,5,3
68,44,Female,Divorced,Travel_Rarely,5,Marketing,Sales,Sales Executive,9,4,3,1,3,5,1,2
70,35,Male,Married,Non-Travel,2,Medical,Research & Development,Healthcare Representative,10,4,0,2,3,2,11,3
72,26,Female,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,5,2,2,0,0,7,23,2
73,33,Female,Single,Travel_Frequently,2,Life Sciences,Research & Development,Research Director,15,15,14,8,12,1,1,1
74,35,Male,Married,Travel_Frequently,5,Life Sciences,Sales,Sales Executive,9,9,8,1,8,1,18,3
75,35,Female,Married,Travel_Rarely,4,Medical,Research & Development,Laboratory Technician,4,2,2,2,2,3,23,3
76,31,Male,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,10,7,7,1,7,3,7,3
77,37,Male,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Manufacturing Director,7,7,5,0,7,1,1,2
78,32,Male,Married,Travel_Rarely,3,Medical,Research & Development,Manufacturing Director,9,9,8,7,8,1,1,3
79,38,Female,Single,Travel_Frequently,5,Life Sciences,Research & Development,Laboratory Technician,10,10,3,9,9,1,29,2
80,50,Female,Divorced,Travel_Rarely,2,Medical,Research & Development,Research Director,29,27,3,13,8,5,7,2
81,59,Female,Single,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,28,21,16,7,9,7,25,3
83,36,Female,Divorced,Travel_Rarely,3,Technical Degree,Research & Development,Healthcare Representative,17,17,14,12,8,1,8,2
84,55,Female,Divorced,Travel_Rarely,3,Medical,Research & Development,Manager,21,5,0,0,2,2,8,2
85,36,Male,Single,Travel_Frequently,3,Life Sciences,Research & Development,Manufacturing Director,6,6,5,0,3,1,11,3
86,45,Male,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,25,1,0,0,0,2,7,2
88,35,Male,Married,Travel_Frequently,3,Medical,Research & Development,Research Scientist,5,3,2,1,2,4,1,2
90,36,Male,Married,Travel_Rarely,3,Medical,Research & Development,Research Scientist,2,1,0,0,0,0,9,0
91,59,Female,Single,Travel_Frequently,1,Life Sciences,Sales,Sales Executive,20,4,3,1,3,7,1,2
94,29,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,6,5,4,0,4,0,2,3
95,31,Male,Single,Travel_Rarely,4,Medical,Research & Development,Research Scientist,1,1,1,1,0,1,1,4
96,32,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,10,10,4,0,9,1,1,3
97,36,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,5,1,0,0,0,3,6,3
98,31,Female,Single,Travel_Rarely,4,Life Sciences,Research & Development,Manufacturing Director,11,11,7,1,8,1,8,2
100,35,Male,Single,Travel_Rarely,4,Marketing,Sales,Sales Executive,16,15,13,2,8,0,1,2
101,45,Male,Married,Travel_Rarely,4,Other,Research & Development,Research Director,17,0,0,0,0,4,6,3
102,37,Male,Single,Travel_Rarely,4,Medical,Research & Development,Research Director,16,5,2,0,2,4,7,3
103,46,Male,Divorced,Travel_Rarely,2,Medical,Human Resources,Human Resources,16,4,2,0,2,8,5,2
104,30,Male,Married,Travel_Rarely,1,Life Sciences,Research & Development,Laboratory Technician,10,10,8,3,0,1,1,1
105,35,Male,Single,Travel_Rarely,3,Medical,Research & Development,Research Scientist,6,6,4,0,4,1,1,3
106,55,Male,Married,Travel_Rarely,2,Life Sciences,Sales,Sales Executive,24,1,0,1,0,3,1,4
107,38,Female,Divorced,Non-Travel,3,Medical,Research & Development,Research Scientist,17,13,11,1,9,7,6,3
110,34,Male,Married,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,5,5,2,1,3,1,1,2
112,56,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,37,6,4,0,2,4,7,3
113,23,Male,Divorced,Travel_Rarely,1,Technical Degree,Sales,Sales Representative,3,0,0,0,0,3,2,3
116,51,Male,Married,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,10,4,2,0,3,3,9,4
117,30,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Healthcare Representative,11,11,10,10,8,1,2,3
118,46,Male,Single,Travel_Rarely,2,Medical,Sales,Sales Executive,9,9,8,4,7,1,9,3
119,40,Male,Married,Travel_Frequently,4,Life Sciences,Research & Development,Healthcare Representative,22,22,3,11,11,1,1,3
120,51,Male,Single,Travel_Rarely,4,Marketing,Sales,Sales Executive,11,10,7,1,0,0,21,2
121,30,Female,Divorced,Travel_Rarely,2,Medical,Sales,Sales Executive,11,11,8,2,7,1,4,4
124,46,Male,Married,Travel_Frequently,3,Medical,Research & Development,Healthcare Representative,21,10,9,9,5,2,1,5
125,32,Male,Single,Travel_Rarely,4,Medical,Sales,Sales Executive,12,11,8,5,7,1,6,0
126,54,Female,Married,Travel_Rarely,4,Technical Degree,Research & Development,Research Director,16,4,3,0,3,9,2,5
128,24,Female,Married,Travel_Rarely,2,Other,Sales,Sales Executive,4,3,2,0,2,0,3,2
129,28,Male,Married,Non-Travel,3,Medical,Sales,Sales Executive,5,5,4,0,4,1,4,3
131,58,Male,Single,Travel_Rarely,4,Medical,Sales,Sales Executive,38,37,10,1,8,0,10,1
132,44,Male,Married,Non-Travel,3,Medical,Research & Development,Laboratory Technician,17,3,2,1,2,4,23,3
133,37,Male,Divorced,Travel_Rarely,4,Human Resources,Human Resources,Human Resources,7,3,2,0,2,4,6,3
134,32,Male,Single,Travel_Rarely,1,Life Sciences,Research & Development,Research Scientist,1,1,0,0,0,1,1,2
137,20,Female,Single,Travel_Frequently,3,Life Sciences,Research & Development,Laboratory Technician,1,1,0,1,0,1,6,5
138,34,Female,Single,Travel_Rarely,4,Other,Research & Development,Research Scientist,16,16,13,2,10,1,6,3
139,37,Male,Divorced,Non-Travel,2,Life Sciences,Research & Development,Healthcare Representative,17,1,0,0,0,5,2,2
140,59,Female,Married,Non-Travel,4,Human Resources,Human Resources,Manager,30,3,2,2,2,9,2,3
141,50,Female,Married,Travel_Frequently,3,Life Sciences,Research & Development,Research Director,28,8,3,0,7,3,1,1
142,25,Male,Single,Travel_Rarely,3,Marketing,Sales,Sales Executive,6,6,4,0,3,1,5,1
143,25,Male,Married,Travel_Rarely,1,Medical,Research & Development,Research Scientist,2,2,2,2,1,1,7,2
144,22,Female,Single,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,1,0,0,0,0,1,15,5
145,51,Female,Single,Travel_Frequently,4,Medical,Research & Development,Healthcare Representative,23,13,12,12,8,3,1,1
147,34,Male,Single,Travel_Frequently,3,Life Sciences,Research & Development,Laboratory Technician,9,9,7,0,6,1,7,3
148,54,Female,Single,Non-Travel,3,Human Resources,Human Resources,Manager,23,5,3,4,4,2,26,3
150,24,Male,Married,Travel_Rarely,1,Life Sciences,Research & Development,Laboratory Technician,6,5,3,1,2,0,18,2
151,34,Female,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,12,1,0,0,0,6,6,3
152,37,Male,Single,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,12,5,3,1,3,2,3,3
153,34,Female,Single,Travel_Rarely,3,Medical,Research & Development,Manager,14,11,10,5,8,2,5,6
154,36,Female,Married,Travel_Frequently,2,Technical Degree,Sales,Sales Executive,10,9,7,2,8,0,11,6
155,36,Female,Divorced,Travel_Rarely,2,Life Sciences,Research & Development,Laboratory Technician,7,1,0,0,0,5,3,2
158,43,Male,Married,Travel_Frequently,2,Life Sciences,Sales,Manager,25,25,12,4,12,1,26,3
159,30,Male,Divorced,Travel_Frequently,3,Life Sciences,Research & Development,Research Scientist,10,10,7,0,9,1,23,2
160,33,Male,Married,Non-Travel,2,Marketing,Sales,Sales Executive,8,7,7,0,7,0,22,2
161,56,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,7,5,4,4,3,9,14,2
162,51,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Director,23,20,18,15,15,7,6,5
163,31,Male,Married,Travel_Rarely,4,Life Sciences,Sales,Sales Executive,12,7,7,7,7,4,6,3
164,26,Female,Married,Travel_Rarely,3,Other,Research & Development,Research Scientist,5,5,4,4,3,1,6,3
165,58,Female,Married,Travel_Rarely,4,Medical,Research & Development,Healthcare Representative,40,40,10,15,6,1,23,3
167,19,Male,Single,Travel_Rarely,1,Marketing,Sales,Sales Representative,0,0,0,0,0,1,22,2
169,22,Male,Married,Travel_Rarely,1,Technical Degree,Research & Development,Laboratory Technician,3,2,1,2,1,0,2,2
170,49,Female,Married,Travel_Rarely,4,Medical,Research & Development,Manufacturing Director,16,15,11,5,11,1,20,2
171,43,Female,Single,Travel_Frequently,3,Medical,Research & Development,Research Scientist,18,3,2,1,2,4,28,2
174,50,Female,Single,Travel_Frequently,3,Marketing,Sales,Sales Executive,16,2,2,2,1,4,12,3
175,31,Female,Married,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,4,2,2,2,2,3,20,2
176,41,Male,Divorced,Travel_Rarely,1,Life Sciences,Sales,Sales Executive,12,9,7,0,7,3,9,2
177,26,Female,Married,Travel_Rarely,1,Life Sciences,Human Resources,Human Resources,8,8,7,5,7,1,25,3
178,36,Male,Divorced,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,7,3,2,0,1,6,6,0
179,51,Male,Single,Travel_Frequently,4,Life Sciences,Research & Development,Manufacturing Director,18,4,2,0,3,2,8,2
182,39,Female,Married,Travel_Rarely,4,Life Sciences,Sales,Sales Executive,17,15,11,5,9,4,4,1
183,25,Male,Married,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,6,2,2,2,2,2,28,3
184,30,Male,Married,Travel_Rarely,3,Human Resources,Human Resources,Human Resources,12,11,9,4,7,0,9,2
190,32,Female,Single,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,10,5,4,0,4,7,9,2
192,45,Male,Single,Travel_Rarely,3,Medical,Research & Development,Research Scientist,9,6,5,0,3,5,29,2
193,38,Female,Single,Travel_Rarely,5,Technical Degree,Research & Development,Research Scientist,19,3,2,2,2,3,3,2
194,30,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,5,5,4,0,4,1,18,4
195,32,Male,Divorced,Travel_Frequently,2,Medical,Sales,Sales Executive,9,8,7,0,7,0,9,2
197,30,Female,Divorced,Travel_Rarely,3,Technical Degree,Research & Development,Research Scientist,8,3,2,2,2,5,5,3
198,30,Male,Single,Travel_Rarely,1,Medical,Research & Development,Laboratory Technician,6,5,3,1,2,0,2,3
199,41,Male,Divorced,Travel_Frequently,3,Life Sciences,Research & Development,Manager,21,7,6,7,7,4,10,2
200,41,Male,Married,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,7,5,0,1,4,2,9,2
201,19,Female,Single,Travel_Rarely,1,Medical,Research & Development,Laboratory Technician,1,1,0,0,0,1,3,3
202,40,Female,Divorced,Travel_Frequently,3,Medical,Research & Development,Research Scientist,20,20,7,2,13,1,26,2
204,35,Male,Married,Travel_Rarely,5,Marketing,Sales,Sales Executive,10,10,8,0,6,1,1,3
205,53,Male,Married,Travel_Rarely,2,Marketing,Sales,Sales Representative,13,7,7,4,5,2,6,3
206,45,Male,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,20,17,9,0,15,8,9,2
207,32,Female,Single,Travel_Frequently,3,Marketing,Sales,Sales Executive,9,9,8,3,7,1,8,2
208,29,Male,Married,Non-Travel,1,Technical Degree,Research & Development,Manufacturing Director,10,10,7,0,9,1,1,1
211,51,Male,Married,Travel_Rarely,4,Medical,Research & Development,Manufacturing Director,10,1,0,0,0,2,7,2
214,58,Female,Married,Travel_Rarely,3,Medical,Research & Development,Research Scientist,9,1,0,0,0,4,9,3
215,40,Male,Married,Travel_Rarely,4,Marketing,Sales,Sales Executive,15,12,11,2,11,7,4,2
216,34,Female,Married,Travel_Frequently,4,Marketing,Sales,Sales Representative,6,4,3,1,2,6,2,3
217,22,Male,Married,Travel_Rarely,1,Medical,Research & Development,Research Scientist,2,2,2,2,2,1,19,6
218,27,Male,Divorced,Non-Travel,3,Medical,Research & Development,Research Scientist,6,2,2,2,2,6,9,1
221,28,Male,Married,Travel_Rarely,3,Medical,Research & Development,Research Scientist,5,5,2,0,2,1,21,2
223,57,Male,Divorced,Travel_Rarely,2,Life Sciences,Research & Development,Healthcare Representative,12,5,3,1,4,3,24,2
224,27,Male,Divorced,Non-Travel,3,Medical,Research & Development,Research Scientist,1,1,1,0,1,1,3,2
226,50,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Manager,21,5,4,4,4,3,11,5
227,41,Male,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,13,9,8,1,8,4,14,2
228,30,Female,Married,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,12,10,9,7,4,2,5,2
230,38,Female,Single,Travel_Rarely,4,Life Sciences,Sales,Sales Executive,12,8,3,0,7,4,1,2
231,32,Male,Single,Travel_Rarely,5,Life Sciences,Research & Development,Research Scientist,8,5,4,1,4,3,6,2
233,27,Male,Married,Travel_Rarely,3,Technical Degree,Research & Development,Research Scientist,6,5,2,1,1,0,17,3
235,19,Female,Single,Travel_Frequently,1,Technical Degree,Sales,Sales Representative,1,0,0,0,0,0,1,5
238,36,Male,Single,Travel_Frequently,2,Medical,Research & Development,Laboratory Technician,13,8,7,7,2,4,3,3
239,30,Male,Divorced,Non-Travel,3,Medical,Research & Development,Laboratory Technician,12,12,9,6,10,1,9,4
240,45,Female,Divorced,Travel_Rarely,2,Life Sciences,Sales,Sales Executive,9,5,4,0,3,4,4,3
241,56,Female,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,19,2,2,2,2,4,8,3
242,33,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,4,3,1,0,2,0,2,2
243,19,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,1,1,0,1,0,1,2,3
244,46,Female,Divorced,Travel_Rarely,2,Marketing,Sales,Sales Executive,24,24,13,15,7,1,1,2
245,38,Female,Single,Travel_Rarely,2,Life Sciences,Research & Development,Laboratory Technician,2,2,2,2,1,1,9,3
246,31,Female,Married,Travel_Rarely,1,Medical,Research & Development,Research Scientist,7,4,2,0,2,8,12,0
247,34,Female,Single,Travel_Rarely,2,Medical,Research & Development,Research Scientist,9,3,2,1,2,2,27,3
248,41,Female,Single,Travel_Rarely,2,Marketing,Sales,Sales Representative,4,4,3,0,2,1,20,5
249,50,Male,Married,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,5,3,2,0,2,2,1,2
250,53,Female,Divorced,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,5,4,2,1,3,1,13,3
252,33,Female,Married,Travel_Rarely,3,Medical,Research & Development,Research Scientist,8,8,7,1,6,1,14,5
253,40,Female,Married,Travel_Rarely,1,Medical,Research & Development,Manager,21,20,8,9,9,1,4,2
254,55,Male,Single,Travel_Rarely,4,Medical,Research & Development,Research Director,36,24,15,2,15,8,14,3
256,34,Male,Married,Travel_Frequently,1,Life Sciences,Research & Development,Manufacturing Director,10,10,9,1,9,1,2,2
258,51,Female,Single,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,21,7,7,1,0,3,3,6
259,52,Male,Married,Travel_Rarely,4,Life Sciences,Research & Development,Manager,34,33,18,11,9,0,1,5
260,27,Female,Single,Travel_Rarely,3,Medical,Research & Development,Research Scientist,7,7,7,0,3,1,9,2
261,35,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Manufacturing Director,8,1,0,0,1,3,23,1
262,43,Male,Divorced,Non-Travel,3,Medical,Research & Development,Research Scientist,7,5,4,2,2,4,7,3
264,45,Male,Married,Non-Travel,2,Medical,Research & Development,Manager,22,20,8,11,8,9,2,1
267,37,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,8,8,7,1,7,1,21,3
269,35,Female,Single,Travel_Frequently,3,Medical,Research & Development,Laboratory Technician,10,6,2,1,2,5,2,5
270,42,Female,Divorced,Non-Travel,2,Medical,Research & Development,Manufacturing Director,11,5,3,0,2,2,21,5
271,38,Male,Married,Travel_Rarely,4,Life Sciences,Research & Development,Manufacturing Director,14,1,0,0,0,9,2,3
273,38,Male,Married,Travel_Rarely,3,Technical Degree,Research & Development,Manufacturing Director,9,7,7,1,7,3,29,3
274,27,Male,Married,Travel_Frequently,1,Technical Degree,Research & Development,Manufacturing Director,6,2,2,2,0,5,1,1
275,49,Male,Divorced,Non-Travel,4,Life Sciences,Research & Development,Manufacturing Director,7,7,7,1,7,1,18,0
277,34,Male,Divorced,Travel_Frequently,4,Medical,Research & Development,Research Scientist,5,5,3,2,0,1,10,4
281,40,Male,Married,Travel_Rarely,2,Medical,Research & Development,Laboratory Technician,15,7,2,3,7,8,19,2
282,38,Male,Married,Travel_Rarely,1,Medical,Research & Development,Healthcare Representative,17,1,0,0,0,7,29,2
283,29,Female,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,10,10,4,1,9,1,27,3
284,22,Male,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,4,4,2,2,2,1,5,2
286,36,Female,Single,Travel_Frequently,1,Medical,Research & Development,Laboratory Technician,8,8,1,1,7,1,18,2
287,40,Male,Married,Non-Travel,5,Life Sciences,Research & Development,Healthcare Representative,5,3,2,0,2,9,9,5
288,46,Male,Divorced,Travel_Rarely,4,Medical,Research & Development,Healthcare Representative,17,4,2,0,3,7,1,3
291,32,Male,Married,Travel_Rarely,4,Medical,Sales,Sales Executive,14,14,8,9,8,1,4,2
292,30,Male,Single,Non-Travel,1,Life Sciences,Research & Development,Manufacturing Director,12,11,8,5,8,1,1,2
293,27,Female,Single,Travel_Frequently,3,Life Sciences,Sales,Sales Executive,7,7,7,0,7,1,20,2
296,51,Male,Married,Travel_Rarely,4,Life Sciences,Research & Development,Research Director,16,10,9,4,7,5,8,5
297,30,Female,Single,Travel_Rarely,3,Technical Degree,Research & Development,Research Scientist,8,5,2,0,4,5,3,5
298,41,Female,Single,Travel_Rarely,3,Life Sciences,Sales,Manager,16,1,0,0,0,3,6,3
299,30,Female,Single,Travel_Frequently,4,Marketing,Sales,Sales Executive,9,6,3,0,1,5,26,5
300,29,Male,Single,Travel_Rarely,3,Technical Degree,Research & Development,Research Scientist,7,6,2,1,5,0,1,1
302,45,Female,Single,Non-Travel,3,Medical,Sales,Sales Executive,23,19,7,12,8,6,6,2
303,54,Female,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,16,6,2,0,5,2,3,4
304,36,Male,Single,Travel_Rarely,2,Life Sciences,Research & Development,Laboratory Technician,16,13,11,3,7,8,5,3
305,33,Female,Married,Travel_Rarely,4,Medical,Research & Development,Research Scientist,7,3,2,1,1,6,4,3
306,37,Male,Divorced,Travel_Frequently,3,Other,Research & Development,Research Director,10,10,8,0,7,1,11,1
307,38,Male,Divorced,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,17,16,10,5,13,0,3,6
308,31,Male,Married,Non-Travel,4,Medical,Research & Development,Manufacturing Director,6,5,4,1,4,0,1,2
309,59,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,7,1,0,0,0,3,3,6
311,37,Male,Divorced,Travel_Frequently,4,Marketing,Sales,Sales Representative,13,9,8,5,8,4,4,2
312,29,Female,Married,Travel_Frequently,1,Medical,Sales,Sales Executive,11,11,10,4,1,1,1,5
314,35,Female,Single,Travel_Frequently,3,Marketing,Sales,Sales Executive,10,10,7,0,8,1,1,3
315,29,Male,Single,Travel_Rarely,1,Medical,Research & Development,Research Scientist,4,4,3,0,1,1,18,3
316,52,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,6,2,2,2,2,7,2,3
319,42,Male,Married,Travel_Rarely,2,Technical Degree,Research & Development,Manager,22,22,17,11,15,1,4,3
321,59,Male,Married,Travel_Rarely,2,Medical,Human Resources,Human Resources,7,2,2,2,2,8,6,2
323,50,Female,Divorced,Travel_Rarely,4,Medical,Sales,Manager,32,7,0,0,6,3,1,3
325,33,Male,Married,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,8,5,4,0,4,5,14,2
327,43,Female,Married,Travel_Rarely,3,Marketing,Sales,Manager,22,17,13,1,9,5,16,3
328,33,Female,Married,Travel_Rarely,2,Life Sciences,Research & Development,Laboratory Technician,13,9,7,1,7,7,2,3
329,52,Male,Single,Non-Travel,4,Life Sciences,Sales,Manager,33,33,7,15,12,1,2,2
330,32,Female,Married,Travel_Rarely,2,Life Sciences,Sales,Sales Representative,6,4,3,1,2,2,4,5
331,32,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,4,3,2,1,2,0,1,2
332,39,Female,Divorced,Travel_Rarely,4,Medical,Research & Development,Laboratory Technician,7,3,2,1,2,7,1,1
333,32,Male,Married,Non-Travel,4,Marketing,Sales,Sales Executive,4,3,2,2,2,0,26,2
334,41,Male,Divorced,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,17,1,0,0,0,2,19,2
335,40,Male,Divorced,Travel_Rarely,2,Technical Degree,Research & Development,Research Scientist,9,9,8,4,7,1,24,3
336,45,Male,Married,Travel_Rarely,3,Other,Research & Development,Manager,25,24,0,1,7,0,1,2
337,31,Male,Divorced,Travel_Frequently,4,Medical,Research & Development,Research Director,9,2,2,2,2,9,3,3
