EmployeeNumber,EmployeeCount,Age,Gender,MaritalStatus,Over18,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,MonthlyIncome,MonthlyRate,HourlyRate,DailyRate,PercentSalaryHike,StockOptionLevel,OverTime,PerformanceRating,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Education,EducationField,TrainingTimesLastYear,DistanceFromHome,BusinessTravel,StandardHours,Attrition
14,1,35,Male,Married,Y,Research & Development,Laboratory Technician,1,4,2,6,5,4,0,3,0,2426,16479,84,809,13,1,No,3,1,3,3,3,Medical,5,16,Travel_Rarely,80,No
15,1,29,Female,Single,Y,Research & Development,Laboratory Technician,2,2,3,10,9,5,0,8,0,4193,12682,49,153,12,0,Yes,3,4,3,4,2,Life Sciences,3,15,Travel_Rarely,80,No
16,1,31,Male,Divorced,Y,Research & Development,Research Scientist,1,3,3,5,5,2,4,3,1,2911,15170,31,670,17,1,No,3,1,2,4,1,Life Sciences,1,26,Travel_Rarely,80,No
18,1,34,Male,Divorced,Y,Research & Development,Laboratory Technician,1,3,4,3,2,2,1,2,0,2661,8758,93,1346,11,1,No,3,2,3,3,2,Medical,2,19,Travel_Rarely,80,No
19,1,28,Male,Single,Y,Research & Development,Laboratory Technician,1,2,3,6,4,2,0,3,5,2028,12947,50,103,14,0,Yes,3,3,3,2,3,Life Sciences,4,24,Travel_Rarely,80,Yes
20,1,29,Female,Divorced,Y,Research & Development,Manufacturing Director,3,4,1,10,10,9,8,8,1,9980,10195,51,1389,11,1,No,3,2,3,3,4,Life Sciences,1,21,Travel_Rarely,80,No
21,1,32,Male,Divorced,Y,Research & Development,Research Scientist,1,4,2,7,6,2,0,5,0,3298,15053,80,334,12,2,Yes,3,1,2,4,2,Life Sciences,5,5,Travel_Rarely,80,No
22,1,22,Male,Divorced,Y,Research & Development,Laboratory Technician,1,4,4,1,1,0,0,0,1,2935,7324,96,1123,13,2,Yes,3,4,2,2,2,Medical,2,16,Non-Travel,80,No
23,1,53,Female,Married,Y,Sales,Manager,4,2,4,31,25,8,3,7,2,15427,22021,78,1219,16,0,No,3,1,3,3,4,Life Sciences,3,2,Travel_Rarely,80,No
24,1,38,Male,Single,Y,Research & Development,Research Scientist,1,3,4,6,3,2,1,2,5,3944,4306,45,371,11,0,Yes,3,4,3,3,3,Life Sciences,3,2,Travel_Rarely,80,No
26,1,24,Female,Divorced,Y,Research & Development,Manufacturing Director,2,4,3,5,4,2,1,3,0,4011,8232,96,673,18,1,No,3,1,2,4,2,Other,5,11,Non-Travel,80,No
27,1,36,Male,Single,Y,Sales,Sales Representative,1,2,1,10,5,3,0,3,7,3407,6986,82,1218,23,0,No,4,3,3,2,4,Life Sciences,4,9,Travel_Rarely,80,Yes
28,1,34,Female,Single,Y,Research & Development,Research Director,3,3,2,13,12,6,2,11,0,11994,21293,53,419,11,0,No,3,1,3,3,4,Life Sciences,4,7,Travel_Rarely,80,No
30,1,21,Male,Single,Y,Research & Development,Research Scientist,1,3,4,0,0,0,0,0,1,1232,19281,96,391,14,0,No,3,3,3,4,2,Life Sciences,6,15,Travel_Rarely,80,No
31,1,34,Male,Single,Y,Research & Development,Research Scientist,1,3,1,8,4,2,1,3,2,2960,17102,83,699,11,0,No,3,2,3,3,1,Medical,2,6,Travel_Rarely,80,Yes
32,1,53,Female,Divorced,Y,Research & Development,Manager,5,3,3,26,14,13,4,8,4,19094,10735,58,1282,11,1,No,3,3,2,4,3,Other,3,5,Travel_Rarely,80,No
33,1,32,Female,Single,Y,Research & Development,Research Scientist,1,1,1,10,10,2,6,7,1,3919,4681,72,1125,22,0,Yes,4,2,3,2,1,Life Sciences,5,16,Travel_Frequently,80,Yes
35,1,42,Male,Married,Y,Sales,Sales Executive,2,3,2,10,9,7,4,2,0,6825,21173,48,691,11,1,No,3,3,3,4,4,Marketing,2,8,Travel_Rarely,80,No
36,1,44,Female,Married,Y,Research & Development,Healthcare Representative,3,2,4,24,22,6,5,17,3,10248,2094,42,477,14,1,No,3,1,3,4,4,Medical,4,7,Travel_Rarely,80,No
38,1,46,Female,Single,Y,Sales,Manager,5,3,1,22,2,2,2,1,3,18947,22822,83,705,12,0,No,3,2,2,4,4,Marketing,2,2,Travel_Rarely,80,No
39,1,33,Male,Single,Y,Research & Development,Laboratory Technician,1,3,4,7,1,1,0,0,4,2496,6670,78,924,11,0,No,3,3,3,4,3,Medical,3,2,Travel_Rarely,80,No
40,1,44,Male,Married,Y,Research & Development,Healthcare Representative,2,3,4,9,4,2,1,3,2,6465,19121,41,1459,13,0,Yes,3,4,4,4,4,Other,5,10,Travel_Rarely,80,No
41,1,30,Male,Single,Y,Research & Development,Laboratory Technician,1,2,3,10,10,0,1,8,1,2206,16117,83,125,13,0,No,3,4,3,1,2,Medical,5,9,Travel_Rarely,80,No
42,1,39,Male,Married,Y,Sales,Sales Representative,2,3,4,19,1,0,0,0,3,2086,3335,56,895,14,1,No,3,4,4,3,3,Technical Degree,6,5,Travel_Rarely,80,Yes
45,1,24,Male,Married,Y,Research & Development,Research Scientist,1,3,4,6,2,0,2,0,2,2293,3020,61,813,16,1,Yes,3,2,2,1,3,Medical,2,1,Travel_Rarely,80,Yes
46,1,43,Female,Divorced,Y,Research & Development,Research Scientist,1,4,3,6,5,3,1,4,1,2645,21923,72,1273,12,2,No,3,4,2,4,2,Medical,3,2,Travel_Rarely,80,No
47,1,50,Male,Married,Y,Sales,Sales Representative,1,2,3,3,3,2,0,2,1,2683,3810,86,869,14,0,Yes,3,1,3,3,2,Marketing,2,3,Travel_Rarely,80,Yes
49,1,35,Female,Married,Y,Sales,Sales Representative,1,3,4,2,2,2,2,2,1,2014,9687,97,890,13,0,No,3,4,3,1,3,Marketing,3,2,Travel_Rarely,80,No
51,1,36,Female,Married,Y,Research & Development,Research Scientist,1,2,1,6,1,1,0,0,9,3419,13072,82,852,14,1,Yes,3,2,4,4,4,Life Sciences,3,5,Travel_Rarely,80,No
52,1,33,Female,Married,Y,Sales,Sales Executive,2,4,1,10,5,3,1,3,2,5376,3193,42,1141,19,2,No,3,3,3,1,3,Life Sciences,3,1,Travel_Frequently,80,No
53,1,35,Male,Divorced,Y,Research & Development,Laboratory Technician,1,3,4,1,1,0,0,0,1,1951,10910,75,464,12,1,No,3,3,3,3,2,Other,3,4,Travel_Rarely,80,No
54,1,27,Female,Divorced,Y,Research & Development,Laboratory Technician,1,3,1,1,1,0,0,0,1,2341,19715,33,1240,13,1,No,3,4,3,4,4,Life Sciences,6,2,Travel_Rarely,80,No
55,1,26,Male,Single,Y,Research & Development,Laboratory Technician,1,1,3,1,1,0,0,1,1,2293,10558,48,1357,12,0,No,3,1,2,3,3,Life Sciences,2,25,Travel_Rarely,80,Yes
56,1,27,Male,Single,Y,Sales,Sales Executive,3,3,3,9,9,8,1,7,1,8726,2975,37,994,15,0,No,3,4,3,4,3,Life Sciences,0,8,Travel_Frequently,80,No
57,1,30,Female,Single,Y,Research & Development,Laboratory Technician,2,3,4,12,12,8,3,7,1,4011,10781,58,721,23,0,No,4,3,3,4,2,Medical,2,1,Travel_Frequently,80,No
58,1,41,Female,Married,Y,Research & Development,Research Director,5,3,3,23,22,15,15,8,1,19545,16280,49,1360,12,0,No,3,2,3,4,3,Technical Degree,0,12,Travel_Rarely,80,Yes
60,1,34,Male,Single,Y,Sales,Sales Executive,2,3,3,10,9,5,8,7,0,4568,10034,72,1065,20,0,No,4,2,3,3,4,Marketing,2,23,Non-Travel,80,No
61,1,37,Male,Married,Y,Research & Development,Research Scientist,1,3,2,8,1,0,0,0,4,3022,10227,73,408,21,0,No,4,2,3,1,2,Life Sciences,1,19,Travel_Rarely,80,No
62,1,46,Male,Single,Y,Sales,Sales Executive,2,3,4,14,9,6,0,8,4,5772,20445,98,1211,21,0,Yes,4,1,3,3,4,Marketing,4,5,Travel_Frequently,80,No
63,1,35,Male,Married,Y,Research & Development,Laboratory Technician,1,4,4,1,1,0,0,1,1,2269,4892,36,1229,19,0,No,3,4,3,4,1,Life Sciences,2,8,Travel_Rarely,80,No
64,1,48,Male,Single,Y,Research & Development,Laboratory Technician,3,2,3,23,1,0,0,0,9,5381,19294,98,626,13,0,Yes,3,1,3,4,2,Life Sciences,2,1,Travel_Rarely,80,Yes
65,1,28,Male,Single,Y,Research & Development,Laboratory Technician,1,3,3,2,2,2,2,2,1,3441,11179,50,1434,13,0,Yes,3,3,2,3,4,Technical Degree,3,5,Travel_Rarely,80,Yes
68,1,44,Female,Divorced,Y,Sales,Sales Executive,2,3,1,9,4,3,1,3,5,5454,4009,75,1488,21,1,Yes,4,2,2,3,5,Marketing,2,1,Travel_Rarely,80,No
70,1,35,Male,Married,Y,Research & Development,Healthcare Representative,3,2,1,10,4,0,2,3,2,9884,8302,79,1097,13,1,Yes,3,3,3,3,2,Medical,3,11,Non-Travel,80,No
72,1,26,Female,Married,Y,Sales,Sales Executive,2,2,4,5,2,2,0,0,7,4157,21436,47,1443,19,1,Yes,3,3,2,3,3,Marketing,2,23,Travel_Rarely,80,No
73,1,33,Female,Single,Y,Research & Development,Research Director,3,3,4,15,15,14,8,12,1,13458,15146,98,515,12,0,Yes,3,1,3,3,2,Life Sciences,1,1,Travel_Frequently,80,No
74,1,35,Male,Married,Y,Sales,Sales Executive,3,3,1,9,9,8,1,8,1,9069,11031,71,853,22,1,No,4,2,2,4,5,Life Sciences,3,18,Travel_Frequently,80,No
75,1,35,Female,Married,Y,Research & Development,Laboratory Technician,1,3,1,4,2,2,2,2,3,4014,16002,30,1142,15,1,Yes,3,3,3,3,4,Medical,3,23,Travel_Rarely,80,No
76,1,31,Male,Divorced,Y,Research & Development,Laboratory Technician,2,3,4,10,7,7,1,7,3,5915,9528,48,655,22,1,No,4,4,2,4,4,Life Sciences,3,7,Travel_Rarely,80,No
77,1,37,Male,Divorced,Y,Research & Development,Manufacturing Director,2,2,3,7,7,5,0,7,1,5993,2689,51,1115,18,1,No,3,1,4,3,4,Life Sciences,2,1,Travel_Rarely,80,No
78,1,32,Male,Married,Y,Research & Development,Manufacturing Director,2,3,4,9,9,8,7,8,1,6162,10877,33,427,22,1,Yes,4,1,3,2,3,Medical,3,1,Travel_Rarely,80,No
79,1,38,Female,Single,Y,Research & Development,Laboratory Technician,2,3,4,10,10,3,9,9,1,2406,5456,50,653,11,0,No,3,4,3,4,5,Life Sciences,2,29,Travel_Frequently,80,No
80,1,50,Female,Divorced,Y,Research & Development,Research Director,5,2,3,29,27,3,13,8,5,18740,16701,43,989,12,1,Yes,3,2,2,4,2,Medical,2,7,Travel_Rarely,80,No
81,1,59,Female,Single,Y,Sales,Sales Executive,3,3,1,28,21,16,7,9,7,7637,2354,99,1435,11,0,No,3,1,2,4,3,Life Sciences,3,25,Travel_Rarely,80,No
83,1,36,Female,Divorced,Y,Research & Development,Healthcare Representative,3,3,3,17,17,14,12,8,1,10096,8202,59,1223,13,3,No,3,3,3,2,3,Technical Degree,2,8,Travel_Rarely,80,No
84,1,55,Female,Divorced,Y,Research & Development,Manager,4,3,3,21,5,0,0,2,2,14756,19730,33,836,14,3,Yes,3,4,3,3,3,Medical,2,8,Travel_Rarely,80,No
85,1,36,Male,Single,Y,Research & Development,Manufacturing Director,2,2,2,6,6,5,0,3,1,6499,22656,95,1195,13,0,No,3,2,3,3,3,Life Sciences,3,11,Travel_Frequently,80,No
86,1,45,Male,Divorced,Y,Research & Development,Research Scientist,3,3,1,25,1,0,0,0,2,9724,18787,59,1339,17,1,No,3,2,3,3,3,Life Sciences,2,7,Travel_Rarely,80,No
88,1,35,Male,Married,Y,Research & Development,Research Scientist,1,3,1,5,3,2,1,2,4,2194,5868,79,664,13,1,No,3,2,2,4,3,Medical,2,1,Travel_Frequently,80,No
90,1,36,Male,Married,Y,Research & Development,Research Scientist,1,2,3,2,1,0,0,0,0,3388,21777,79,318,17,1,Yes,3,4,2,1,3,Medical,0,9,Travel_Rarely,80,Yes
91,1,59,Female,Single,Y,Sales,Sales Executive,2,2,3,20,4,3,1,3,7,5473,24668,57,1225,11,0,No,3,1,2,4,1,Life Sciences,2,1,Travel_Frequently,80,No
94,1,29,Male,Married,Y,Research & Development,Research Scientist,1,3,2,6,5,4,0,4,0,2703,4956,76,1328,23,1,No,4,3,3,4,3,Life Sciences,3,2,Travel_Rarely,80,No
95,1,31,Male,Single,Y,Research & Development,Research Scientist,1,3,2,1,1,1,1,0,1,2501,18775,87,1082,17,0,No,3,3,3,2,4,Medical,4,1,Travel_Rarely,80,No
96,1,32,Male,Married,Y,Research & Development,Research Scientist,2,3,2,10,10,4,0,9,1,6220,7346,66,548,17,2,No,3,2,3,2,3,Life Sciences,3,1,Travel_Rarely,80,No
97,1,36,Female,Married,Y,Research & Development,Laboratory Technician,1,4,4,5,1,0,0,0,3,3038,22002,55,132,12,0,No,3,2,3,2,3,Life Sciences,3,6,Travel_Rarely,80,No
98,1,31,Female,Single,Y,Research & Development,Manufacturing Director,2,3,4,11,11,7,1,8,1,4424,20682,61,746,23,0,No,4,3,3,4,4,Life Sciences,2,8,Travel_Rarely,80,No
100,1,35,Male,Single,Y,Sales,Sales Executive,2,2,1,16,15,13,2,8,0,4312,23016,32,776,14,0,No,3,3,3,2,4,Marketing,2,1,Travel_Rarely,80,No
101,1,45,Male,Married,Y,Research & Development,Research Director,3,3,1,17,0,0,0,0,4,13245,15067,52,193,14,0,Yes,3,4,4,2,4,Other,3,6,Travel_Rarely,80,No
102,1,37,Male,Single,Y,Research & Development,Research Director,3,3,3,16,5,2,0,2,4,13664,25258,30,397,13,0,No,3,1,4,1,4,Medical,3,7,Travel_Rarely,80,No
103,1,46,Male,Divorced,Y,Human Resources,Human Resources,2,3,2,16,4,2,0,2,8,5021,10425,80,945,22,1,Yes,4,2,3,4,2,Medical,2,5,Travel_Rarely,80,No
104,1,30,Male,Married,Y,Research & Development,Laboratory Technician,2,2,4,10,10,8,3,0,1,5126,15998,55,852,12,2,Yes,3,4,2,3,1,Life Sciences,1,1,Travel_Rarely,80,No
105,1,35,Male,Single,Y,Research & Development,Research Scientist,1,2,3,6,6,4,0,4,1,2859,26278,30,1214,18,0,No,3,2,3,1,3,Medical,3,1,Travel_Rarely,80,No
106,1,55,Male,Married,Y,Sales,Sales Executive,3,3,4,24,1,0,1,0,3,10239,18092,70,111,14,1,No,3,1,3,4,2,Life Sciences,4,1,Travel_Rarely,80,No
107,1,38,Female,Divorced,Y,Research & Development,Research Scientist,2,1,4,17,13,11,1,9,7,5329,15717,79,573,12,3,Yes,3,2,3,4,3,Medical,3,6,Non-Travel,80,No
110,1,34,Male,Married,Y,Research & Development,Manufacturing Director,2,3,2,5,5,2,1,3,1,4325,17736,94,1153,15,0,No,3,1,3,3,2,Medical,2,1,Travel_Rarely,80,No
112,1,56,Male,Single,Y,Research & Development,Manufacturing Director,3,1,4,37,6,4,0,2,4,7260,21698,49,1400,11,0,No,3,4,2,1,3,Life Sciences,3,7,Travel_Rarely,80,No
113,1,23,Male,Divorced,Y,Sales,Sales Representative,1,3,1,3,0,0,0,0,3,2322,9518,62,541,13,1,No,3,3,3,3,1,Technical Degree,3,2,Travel_Rarely,80,No
116,1,51,Male,Married,Y,Research & Development,Laboratory Technician,1,3,4,10,4,2,0,3,3,2075,18725,96,432,23,2,No,4,4,3,2,4,Life Sciences,4,9,Travel_Rarely,80,No
117,1,30,Male,Married,Y,Research & Development,Healthcare Representative,2,2,4,11,11,10,10,8,1,4152,15830,99,288,19,3,No,3,3,3,1,3,Life Sciences,3,2,Travel_Rarely,80,No
118,1,46,Male,Single,Y,Sales,Sales Executive,3,2,4,9,9,8,4,7,1,9619,13596,64,669,16,0,No,3,3,3,4,2,Medical,3,9,Travel_Rarely,80,Yes
119,1,40,Male,Married,Y,Research & Development,Healthcare Representative,4,2,2,22,22,3,11,11,1,13503,14115,78,530,22,1,No,4,3,2,4,4,Life Sciences,3,1,Travel_Frequently,80,No
120,1,51,Male,Single,Y,Sales,Sales Executive,2,3,4,11,10,7,1,0,0,5441,8423,71,632,22,0,Yes,4,3,1,4,4,Marketing,2,21,Travel_Rarely,80,No
121,1,30,Female,Divorced,Y,Sales,Sales Executive,2,2,2,11,11,8,2,7,1,5209,19760,63,1334,12,3,Yes,3,3,2,2,2,Medical,4,4,Travel_Rarely,80,No
124,1,46,Male,Married,Y,Research & Development,Healthcare Representative,3,2,1,21,10,9,9,5,2,10673,3142,40,638,13,1,Yes,3,3,2,3,3,Medical,5,1,Travel_Frequently,80,No
125,1,32,Male,Single,Y,Sales,Sales Executive,2,3,3,12,11,8,5,7,1,5010,24301,87,1093,16,0,No,3,2,3,1,4,Medical,0,6,Travel_Rarely,80,No
126,1,54,Female,Married,Y,Research & Development,Research Director,3,3,3,16,4,3,0,3,9,13549,24001,60,1217,12,1,No,3,1,1,1,4,Technical Degree,5,2,Travel_Rarely,80,No
128,1,24,Female,Married,Y,Sales,Sales Executive,2,3,3,4,3,2,0,2,0,4999,17519,33,1353,21,1,No,4,1,2,1,2,Other,2,3,Travel_Rarely,80,No
129,1,28,Male,Married,Y,Sales,Sales Executive,2,3,3,5,5,4,0,4,1,4221,8863,43,120,15,0,No,3,2,4,2,3,Medical,3,4,Non-Travel,80,No
131,1,58,Male,Single,Y,Sales,Sales Executive,4,3,3,38,37,10,1,8,0,13872,24409,37,682,13,0,No,3,4,2,3,4,Medical,1,10,Travel_Rarely,80,No
132,1,44,Male,Married,Y,Research & Development,Laboratory Technician,2,3,2,17,3,2,1,2,4,2042,25043,67,489,12,1,No,3,2,4,3,3,Medical,3,23,Non-Travel,80,No
133,1,37,Male,Divorced,Y,Human Resources,Human Resources,1,3,1,7,3,2,0,2,4,2073,23648,63,807,22,0,Yes,4,3,3,4,4,Human Resources,3,6,Travel_Rarely,80,Yes
134,1,32,Male,Single,Y,Research & Development,Research Scientist,1,3,1,1,1,0,0,0,1,2956,15178,71,827,13,0,No,3,4,3,4,1,Life Sciences,2,1,Travel_Rarely,80,No
137,1,20,Female,Single,Y,Research & Development,Laboratory Technician,1,2,4,1,1,0,1,0,1,2926,19783,66,871,18,0,Yes,3,4,3,2,3,Life Sciences,5,6,Travel_Frequently,80,Yes
138,1,34,Female,Single,Y,Research & Development,Research Scientist,2,3,3,16,16,13,2,10,1,4809,12482,41,665,14,0,No,3,1,3,3,4,Other,3,6,Travel_Rarely,80,No
139,1,37,Male,Divorced,Y,Research & Development,Healthcare Representative,2,2,4,17,1,0,0,0,5,5163,15850,100,1040,14,1,No,3,3,4,4,2,Life Sciences,2,2,Non-Travel,80,No
140,1,59,Female,Married,Y,Human Resources,Manager,5,2,4,30,3,2,2,2,9,18844,21922,32,1420,21,1,No,4,3,3,4,4,Human Resources,3,2,Non-Travel,80,No
141,1,50,Female,Married,Y,Research & Development,Research Director,5,3,2,28,8,3,0,7,3,18172,9755,73,1115,19,0,Yes,3,1,2,1,3,Life Sciences,1,1,Travel_Frequently,80,No
142,1,25,Male,Single,Y,Sales,Sales Executive,2,2,3,6,6,4,0,3,1,5744,26959,46,240,11,0,Yes,3,3,3,4,3,Marketing,1,5,Travel_Rarely,80,Yes
143,1,25,Male,Married,Y,Research & Development,Research Scientist,1,2,4,2,2,2,2,1,1,2889,26897,64,1280,11,2,No,3,4,3,3,1,Medical,2,7,Travel_Rarely,80,No
144,1,22,Female,Single,Y,Research & Development,Laboratory Technician,1,3,4,1,0,0,0,0,1,2871,23785,59,534,15,0,No,3,2,3,3,3,Medical,5,15,Travel_Rarely,80,No
145,1,51,Female,Single,Y,Research & Development,Healthcare Representative,3,2,1,23,13,12,12,8,3,7484,25796,30,1456,20,0,No,4,1,2,3,4,Medical,1,1,Travel_Frequently,80,No
147,1,34,Male,Single,Y,Research & Development,Laboratory Technician,2,1,3,9,9,7,0,6,1,6074,22887,66,658,24,0,Yes,4,1,3,4,3,Life Sciences,3,7,Travel_Frequently,80,Yes
148,1,54,Female,Single,Y,Human Resources,Manager,4,4,4,23,5,3,4,4,2,17328,13871,30,142,12,0,Yes,3,4,3,3,3,Human Resources,3,26,Non-Travel,80,No
150,1,24,Male,Married,Y,Research & Development,Laboratory Technician,1,3,3,6,5,3,1,2,0,2774,13257,52,1127,12,1,No,3,2,3,3,1,Life Sciences,2,18,Travel_Rarely,80,No
151,1,34,Female,Divorced,Y,Research & Development,Research Scientist,2,2,2,12,1,0,0,0,6,4505,15000,45,1031,15,1,No,3,3,3,3,4,Life Sciences,3,6,Travel_Rarely,80,No
152,1,37,Male,Single,Y,Sales,Sales Executive,3,3,4,12,5,3,1,3,2,7428,14506,87,1189,12,0,No,3,3,3,1,3,Life Sciences,3,3,Travel_Rarely,80,No
153,1,34,Female,Single,Y,Research & Development,Manager,3,2,1,14,11,10,5,8,2,11631,5615,45,1354,12,0,No,3,3,3,4,3,Medical,6,5,Travel_Rarely,80,No
154,1,36,Female,Married,Y,Sales,Sales Executive,3,3,4,10,9,7,2,8,0,9738,22952,92,1467,14,1,No,3,2,3,3,2,Technical Degree,6,11,Travel_Frequently,80,No
155,1,36,Female,Divorced,Y,Research & Development,Laboratory Technician,1,3,4,7,1,0,0,0,5,2835,2561,39,922,22,1,No,4,1,3,1,2,Life Sciences,2,3,Travel_Rarely,80,No
158,1,43,Male,Married,Y,Sales,Manager,4,3,4,25,25,12,4,12,1,16959,19494,92,394,12,2,Yes,3,3,4,4,2,Life Sciences,3,26,Travel_Frequently,80,No
159,1,30,Male,Divorced,Y,Research & Development,Research Scientist,1,1,3,10,10,7,0,9,1,2613,22310,96,1312,25,3,No,4,1,2,3,3,Life Sciences,2,23,Travel_Frequently,80,No
160,1,33,Male,Married,Y,Sales,Sales Executive,2,3,2,8,7,7,0,7,0,6146,15480,95,750,13,1,No,3,3,4,1,2,Marketing,2,22,Non-Travel,80,No
161,1,56,Female,Married,Y,Research & Development,Research Scientist,1,3,2,7,5,4,4,3,9,4963,4510,72,441,18,3,Yes,3,2,3,1,4,Life Sciences,2,14,Travel_Rarely,80,Yes
162,1,51,Male,Single,Y,Research & Development,Research Director,5,3,3,23,20,18,15,15,7,19537,6462,51,684,13,0,No,3,1,3,3,3,Life Sciences,5,6,Travel_Rarely,80,No
163,1,31,Male,Married,Y,Sales,Sales Executive,2,1,3,12,7,7,7,7,4,6172,20739,76,249,18,0,Yes,3,2,2,2,4,Life Sciences,3,6,Travel_Rarely,80,Yes
164,1,26,Female,Married,Y,Research & Development,Research Scientist,1,2,2,5,5,4,4,3,1,2368,23300,46,841,19,0,No,3,3,2,3,3,Other,3,6,Travel_Rarely,80,No
165,1,58,Female,Married,Y,Research & Development,Healthcare Representative,3,3,4,40,40,10,15,6,1,10312,3465,94,147,12,1,No,3,4,2,4,4,Medical,3,23,Travel_Rarely,80,Yes
167,1,19,Male,Single,Y,Sales,Sales Representative,1,3,3,0,0,0,0,0,1,1675,26820,50,528,19,0,Yes,3,4,2,4,1,Marketing,2,22,Travel_Rarely,80,Yes
169,1,22,Male,Married,Y,Research & Development,Laboratory Technician,1,3,4,3,2,1,2,1,0,2523,19299,100,594,14,1,No,3,3,3,3,1,Technical Degree,2,2,Travel_Rarely,80,No
170,1,49,Female,Married,Y,Research & Development,Manufacturing Director,2,3,1,16,15,11,5,11,1,6567,5549,96,470,14,0,No,3,3,2,3,4,Medical,2,20,Travel_Rarely,80,No
171,1,43,Female,Single,Y,Research & Development,Research Scientist,1,4,3,18,3,2,1,2,4,4739,16090,72,957,12,0,No,3,2,3,4,3,Medical,2,28,Travel_Frequently,80,No
174,1,50,Female,Single,Y,Sales,Sales Executive,3,3,4,16,2,2,2,1,4,9208,6645,77,809,11,0,No,3,3,3,4,3,Marketing,3,12,Travel_Frequently,80,No
175,1,31,Female,Married,Y,Sales,Sales Executive,2,1,3,4,2,2,2,2,3,4559,24788,71,542,11,1,Yes,3,2,3,3,3,Life Sciences,2,20,Travel_Rarely,80,Yes
176,1,41,Male,Divorced,Y,Sales,Sales Executive,3,3,3,12,9,7,0,7,3,8189,21196,96,802,13,1,Yes,3,3,3,3,1,Life Sciences,2,9,Travel_Rarely,80,No
177,1,26,Female,Married,Y,Human Resources,Human Resources,1,3,3,8,8,7,5,7,1,2942,8916,61,1355,23,1,No,4,3,3,4,1,Life Sciences,3,25,Travel_Rarely,80,No
178,1,36,Male,Divorced,Y,Research & Development,Manufacturing Director,2,3,2,7,3,2,0,1,6,4941,2819,84,216,20,2,No,4,2,3,4,2,Medical,0,6,Travel_Rarely,80,No
179,1,51,Male,Single,Y,Research & Development,Manufacturing Director,3,1,4,18,4,2,0,3,2,10650,25150,53,1150,15,0,No,3,1,3,4,4,Life Sciences,2,8,Travel_Frequently,80,Yes
182,1,39,Female,Married,Y,Sales,Sales Executive,2,2,3,17,15,11,5,9,4,5902,14590,47,1329,14,1,No,3,4,4,3,4,Life Sciences,1,4,Travel_Rarely,80,No
183,1,25,Male,Married,Y,Sales,Sales Executive,2,2,3,6,2,2,2,2,2,8639,24835,41,959,18,0,No,3,1,3,4,3,Life Sciences,3,28,Travel_Rarely,80,No
