EmployeeNumber,Age,Gender,MaritalStatus,BusinessTravel,Education,EducationField,Department,JobRole,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,DistanceFromHome,TrainingTimesLastYear,JobLevel,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition,OverTime
22,22,Male,Divorced,Non-Travel,2,Medical,"Research & Development","Laboratory Technician",1,1,0,0,0,1,16,2,1,2935,7324,1123,96,13,2,3,4,4,4,2,2,No,Yes
23,53,Female,Married,Travel_Rarely,4,"Life Sciences",Sales,Manager,31,25,8,3,7,2,2,3,4,15427,22021,1219,78,16,0,3,2,4,1,3,3,No,No
24,38,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",6,3,2,1,2,5,2,3,1,3944,4306,371,45,11,0,3,3,4,4,3,3,No,Yes
26,24,Female,Divorced,Non-Travel,2,Other,"Research & Development","Manufacturing Director",5,4,2,1,3,0,11,5,2,4011,8232,673,96,18,1,3,4,3,1,2,4,No,No
27,36,Male,Single,Travel_Rarely,4,"Life Sciences",Sales,"Sales Representative",10,5,3,0,3,7,9,4,1,3407,6986,1218,82,23,0,4,2,1,3,3,2,Yes,No
28,34,Female,Single,Travel_Rarely,4,"Life Sciences","Research & Development","Research Director",13,12,6,2,11,0,7,4,3,11994,21293,419,53,11,0,3,3,2,1,3,3,No,No
30,21,Male,Single,Travel_Rarely,2,"Life Sciences","Research & Development","Research Scientist",0,0,0,0,0,1,15,6,1,1232,19281,391,96,14,0,3,3,4,3,3,4,No,No
31,34,Male,Single,Travel_Rarely,1,Medical,"Research & Development","Research Scientist",8,4,2,1,3,2,6,2,1,2960,17102,699,83,11,0,3,3,1,2,3,3,Yes,No
32,53,Female,Divorced,Travel_Rarely,3,Other,"Research & Development",Manager,26,14,13,4,8,4,5,3,5,19094,10735,1282,58,11,1,3,3,3,3,2,4,No,No
33,32,Female,Single,Travel_Frequently,1,"Life Sciences","Research & Development","Research Scientist",10,10,2,6,7,1,16,5,1,3919,4681,1125,72,22,0,4,1,1,2,3,2,Yes,Yes
35,42,Male,Married,Travel_Rarely,4,Marketing,Sales,"Sales Executive",10,9,7,4,2,0,8,2,2,6825,21173,691,48,11,1,3,3,2,3,3,4,No,No
36,44,Female,Married,Travel_Rarely,4,Medical,"Research & Development","Healthcare Representative",24,22,6,5,17,3,7,4,3,10248,2094,477,42,14,1,3,2,4,1,3,4,No,No
38,46,Female,Single,Travel_Rarely,4,Marketing,Sales,Manager,22,2,2,2,1,3,2,2,5,18947,22822,705,83,12,0,3,3,1,2,2,4,No,No
39,33,Male,Single,Travel_Rarely,3,Medical,"Research & Development","Laboratory Technician",7,1,1,0,0,4,2,3,1,2496,6670,924,78,11,0,3,3,4,3,3,4,No,No
40,44,Male,Married,Travel_Rarely,4,Other,"Research & Development","Healthcare Representative",9,4,2,1,3,2,10,5,2,6465,19121,1459,41,13,0,3,3,4,4,4,4,No,Yes
41,30,Male,Single,Travel_Rarely,2,Medical,"Research & Development","Laboratory Technician",10,10,0,1,8,1,9,5,1,2206,16117,125,83,13,0,3,2,3,4,3,1,No,No
42,39,Male,Married,Travel_Rarely,3,"Technical Degree",Sales,"Sales Representative",19,1,0,0,0,3,5,6,2,2086,3335,895,56,14,1,3,3,4,4,4,3,Yes,No
45,24,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Research Scientist",6,2,0,2,0,2,1,2,1,2293,3020,813,61,16,1,3,3,4,2,2,1,Yes,Yes
46,43,Female,Divorced,Travel_Rarely,2,Medical,"Research & Development","Research Scientist",6,5,3,1,4,1,2,3,1,2645,21923,1273,72,12,2,3,4,3,4,2,4,No,No
47,50,Male,Married,Travel_Rarely,2,Marketing,Sales,"Sales Representative",3,3,2,0,2,1,3,2,1,2683,3810,869,86,14,0,3,2,3,1,3,3,Yes,Yes
49,35,Female,Married,Travel_Rarely,3,Marketing,Sales,"Sales Representative",2,2,2,2,2,1,2,3,1,2014,9687,890,97,13,0,3,3,4,4,3,1,No,No
51,36,Female,Married,Travel_Rarely,4,"Life Sciences","Research & Development","Research Scientist",6,1,1,0,0,9,5,3,1,3419,13072,852,82,14,1,3,2,1,2,4,4,No,Yes
52,33,Female,Married,Travel_Frequently,3,"Life Sciences",Sales,"Sales Executive",10,5,3,1,3,2,1,3,2,5376,3193,1141,42,19,2,3,4,1,3,3,1,No,No
53,35,Male,Divorced,Travel_Rarely,2,Other,"Research & Development","Laboratory Technician",1,1,0,0,0,1,4,3,1,1951,10910,464,75,12,1,3,3,4,3,3,3,No,No
54,27,Female,Divorced,Travel_Rarely,4,"Life Sciences","Research & Development","Laboratory Technician",1,1,0,0,0,1,2,6,1,2341,19715,1240,33,13,1,3,3,1,4,3,4,No,No
55,26,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Laboratory Technician",1,1,0,0,1,1,25,2,1,2293,10558,1357,48,12,0,3,1,3,1,2,3,Yes,No
56,27,Male,Single,Travel_Frequently,3,"Life Sciences",Sales,"Sales Executive",9,9,8,1,7,1,8,0,3,8726,2975,994,37,15,0,3,3,3,4,3,4,No,No
57,30,Female,Single,Travel_Frequently,2,Medical,"Research & Development","Laboratory Technician",12,12,8,3,7,1,1,2,2,4011,10781,721,58,23,0,4,3,4,3,3,4,No,No
58,41,Female,Married,Travel_Rarely,3,"Technical Degree","Research & Development","Research Director",23,22,15,15,8,1,12,0,5,19545,16280,1360,49,12,0,3,3,3,2,3,4,Yes,No
60,34,Male,Single,Non-Travel,4,Marketing,Sales,"Sales Executive",10,9,5,8,7,0,23,2,2,4568,10034,1065,72,20,0,4,3,3,2,3,3,No,No
61,37,Male,Married,Travel_Rarely,2,"Life Sciences","Research & Development","Research Scientist",8,1,0,0,0,4,19,1,1,3022,10227,408,73,21,0,4,3,2,2,3,1,No,No
62,46,Male,Single,Travel_Frequently,4,Marketing,Sales,"Sales Executive",14,9,6,0,8,4,5,4,2,5772,20445,1211,98,21,0,4,3,4,1,3,3,No,Yes
63,35,Male,Married,Travel_Rarely,1,"Life Sciences","Research & Development","Laboratory Technician",1,1,0,0,1,1,8,2,1,2269,4892,1229,36,19,0,3,4,4,4,3,4,No,No
64,48,Male,Single,Travel_Rarely,2,"Life Sciences","Research & Development","Laboratory Technician",23,1,0,0,0,9,1,2,3,5381,19294,626,98,13,0,3,2,3,1,3,4,Yes,Yes
65,28,Male,Single,Travel_Rarely,4,"Technical Degree","Research & Development","Laboratory Technician",2,2,2,2,2,1,5,3,1,3441,11179,1434,50,13,0,3,3,3,3,2,3,Yes,Yes
68,44,Female,Divorced,Travel_Rarely,5,Marketing,Sales,"Sales Executive",9,4,3,1,3,5,1,2,2,5454,4009,1488,75,21,1,4,3,1,2,2,3,No,Yes
70,35,Male,Married,Non-Travel,2,Medical,"Research & Development","Healthcare Representative",10,4,0,2,3,2,11,3,3,9884,8302,1097,79,13,1,3,2,1,3,3,3,No,Yes
72,26,Female,Married,Travel_Rarely,3,Marketing,Sales,"Sales Executive",5,2,2,0,0,7,23,2,2,4157,21436,1443,47,19,1,3,2,4,3,2,3,No,Yes
73,33,Female,Single,Travel_Frequently,2,"Life Sciences","Research & Development","Research Director",15,15,14,8,12,1,1,1,3,13458,15146,515,98,12,0,3,3,4,1,3,3,No,Yes
74,35,Male,Married,Travel_Frequently,5,"Life Sciences",Sales,"Sales Executive",9,9,8,1,8,1,18,3,3,9069,11031,853,71,22,1,4,3,1,2,2,4,No,No
75,35,Female,Married,Travel_Rarely,4,Medical,"Research & Development","Laboratory Technician",4,2,2,2,2,3,23,3,1,4014,16002,1142,30,15,1,3,3,1,3,3,3,No,Yes
76,31,Male,Divorced,Travel_Rarely,4,"Life Sciences","Research & Development","Laboratory Technician",10,7,7,1,7,3,7,3,2,5915,9528,655,48,22,1,4,3,4,4,2,4,No,No
77,37,Male,Divorced,Travel_Rarely,4,"Life Sciences","Research & Development","Manufacturing Director",7,7,5,0,7,1,1,2,2,5993,2689,1115,51,18,1,3,2,3,1,4,3,No,No
78,32,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Manufacturing Director",9,9,8,7,8,1,1,3,2,6162,10877,427,33,22,1,4,3,4,1,3,2,No,Yes
79,38,Female,Single,Travel_Frequently,5,"Life Sciences","Research & Development","Laboratory Technician",10,10,3,9,9,1,29,2,2,2406,5456,653,50,11,0,3,3,4,4,3,4,No,No
80,50,Female,Divorced,Travel_Rarely,2,Medical,"Research & Development","Research Director",29,27,3,13,8,5,7,2,5,18740,16701,989,43,12,1,3,2,3,2,2,4,No,Yes
81,59,Female,Single,Travel_Rarely,3,"Life Sciences",Sales,"Sales Executive",28,21,16,7,9,7,25,3,3,7637,2354,1435,99,11,0,3,3,1,1,2,4,No,No
83,36,Female,Divorced,Travel_Rarely,3,"Technical Degree","Research & Development","Healthcare Representative",17,17,14,12,8,1,8,2,3,10096,8202,1223,59,13,3,3,3,3,3,3,2,No,No
84,55,Female,Divorced,Travel_Rarely,3,Medical,"Research & Development",Manager,21,5,0,0,2,2,8,2,4,14756,19730,836,33,14,3,3,3,3,4,3,3,No,Yes
85,36,Male,Single,Travel_Frequently,3,"Life Sciences","Research & Development","Manufacturing Director",6,6,5,0,3,1,11,3,2,6499,22656,1195,95,13,0,3,2,2,2,3,3,No,No
86,45,Male,Divorced,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",25,1,0,0,0,2,7,2,3,9724,18787,1339,59,17,1,3,3,1,2,3,3,No,No
88,35,Male,Married,Travel_Frequently,3,Medical,"Research & Development","Research Scientist",5,3,2,1,2,4,1,2,1,2194,5868,664,79,13,1,3,3,1,2,2,4,No,No
90,36,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Research Scientist",2,1,0,0,0,0,9,0,1,3388,21777,318,79,17,1,3,2,3,4,2,1,Yes,Yes
91,59,Female,Single,Travel_Frequently,1,"Life Sciences",Sales,"Sales Executive",20,4,3,1,3,7,1,2,2,5473,24668,1225,57,11,0,3,2,3,1,2,4,No,No
94,29,Male,Married,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",6,5,4,0,4,0,2,3,1,2703,4956,1328,76,23,1,4,3,2,3,3,4,No,No
95,31,Male,Single,Travel_Rarely,4,Medical,"Research & Development","Research Scientist",1,1,1,1,0,1,1,4,1,2501,18775,1082,87,17,0,3,3,2,3,3,2,No,No
96,32,Male,Married,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",10,10,4,0,9,1,1,3,2,6220,7346,548,66,17,2,3,3,2,2,3,2,No,No
97,36,Female,Married,Travel_Rarely,3,"Life Sciences","Research & Development","Laboratory Technician",5,1,0,0,0,3,6,3,1,3038,22002,132,55,12,0,3,4,4,2,3,2,No,No
98,31,Female,Single,Travel_Rarely,4,"Life Sciences","Research & Development","Manufacturing Director",11,11,7,1,8,1,8,2,2,4424,20682,746,61,23,0,4,3,4,3,3,4,No,No
100,35,Male,Single,Travel_Rarely,4,Marketing,Sales,"Sales Executive",16,15,13,2,8,0,1,2,2,4312,23016,776,32,14,0,3,2,1,3,3,2,No,No
101,45,Male,Married,Travel_Rarely,4,Other,"Research & Development","Research Director",17,0,0,0,0,4,6,3,3,13245,15067,193,52,14,0,3,3,1,4,4,2,No,Yes
102,37,Male,Single,Travel_Rarely,4,Medical,"Research & Development","Research Director",16,5,2,0,2,4,7,3,3,13664,25258,397,30,13,0,3,3,3,1,4,1,No,No
103,46,Male,Divorced,Travel_Rarely,2,Medical,"Human Resources","Human Resources",16,4,2,0,2,8,5,2,2,5021,10425,945,80,22,1,4,3,2,2,3,4,No,Yes
104,30,Male,Married,Travel_Rarely,1,"Life Sciences","Research & Development","Laboratory Technician",10,10,8,3,0,1,1,1,2,5126,15998,852,55,12,2,3,2,4,4,2,3,No,Yes
105,35,Male,Single,Travel_Rarely,3,Medical,"Research & Development","Research Scientist",6,6,4,0,4,1,1,3,1,2859,26278,1214,30,18,0,3,2,3,2,3,1,No,No
106,55,Male,Married,Travel_Rarely,2,"Life Sciences",Sales,"Sales Executive",24,1,0,1,0,3,1,4,3,10239,18092,111,70,14,1,3,3,4,1,3,4,No,No
107,38,Female,Divorced,Non-Travel,3,Medical,"Research & Development","Research Scientist",17,13,11,1,9,7,6,3,2,5329,15717,573,79,12,3,3,1,4,2,3,4,No,Yes
110,34,Male,Married,Travel_Rarely,2,Medical,"Research & Development","Manufacturing Director",5,5,2,1,3,1,1,2,2,4325,17736,1153,94,15,0,3,3,2,1,3,3,No,No
112,56,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Manufacturing Director",37,6,4,0,2,4,7,3,3,7260,21698,1400,49,11,0,3,1,4,4,2,1,No,No
113,23,Male,Divorced,Travel_Rarely,1,"Technical Degree",Sales,"Sales Representative",3,0,0,0,0,3,2,3,1,2322,9518,541,62,13,1,3,3,1,3,3,3,No,No
116,51,Male,Married,Travel_Rarely,4,"Life Sciences","Research & Development","Laboratory Technician",10,4,2,0,3,3,9,4,1,2075,18725,432,96,23,2,4,3,4,4,3,2,No,No
117,30,Male,Married,Travel_Rarely,3,"Life Sciences","Research & Development","Healthcare Representative",11,11,10,10,8,1,2,3,2,4152,15830,288,99,19,3,3,2,4,3,3,1,No,No
118,46,Male,Single,Travel_Rarely,2,Medical,Sales,"Sales Executive",9,9,8,4,7,1,9,3,3,9619,13596,669,64,16,0,3,2,4,3,3,4,Yes,No
119,40,Male,Married,Travel_Frequently,4,"Life Sciences","Research & Development","Healthcare Representative",22,22,3,11,11,1,1,3,4,13503,14115,530,78,22,1,4,2,2,3,2,4,No,No
120,51,Male,Single,Travel_Rarely,4,Marketing,Sales,"Sales Executive",11,10,7,1,0,0,21,2,2,5441,8423,632,71,22,0,4,3,4,3,1,4,No,Yes
121,30,Female,Divorced,Travel_Rarely,2,Medical,Sales,"Sales Executive",11,11,8,2,7,1,4,4,2,5209,19760,1334,63,12,3,3,2,2,3,2,2,No,Yes
124,46,Male,Married,Travel_Frequently,3,Medical,"Research & Development","Healthcare Representative",21,10,9,9,5,2,1,5,3,10673,3142,638,40,13,1,3,2,1,3,2,3,No,Yes
125,32,Male,Single,Travel_Rarely,4,Medical,Sales,"Sales Executive",12,11,8,5,7,1,6,0,2,5010,24301,1093,87,16,0,3,3,3,2,3,1,No,No
126,54,Female,Married,Travel_Rarely,4,"Technical Degree","Research & Development","Research Director",16,4,3,0,3,9,2,5,3,13549,24001,1217,60,12,1,3,3,3,1,1,1,No,No
128,24,Female,Married,Travel_Rarely,2,Other,Sales,"Sales Executive",4,3,2,0,2,0,3,2,2,4999,17519,1353,33,21,1,4,3,3,1,2,1,No,No
129,28,Male,Married,Non-Travel,3,Medical,Sales,"Sales Executive",5,5,4,0,4,1,4,3,2,4221,8863,120,43,15,0,3,3,3,2,4,2,No,No
131,58,Male,Single,Travel_Rarely,4,Medical,Sales,"Sales Executive",38,37,10,1,8,0,10,1,4,13872,24409,682,37,13,0,3,3,3,4,2,3,No,No
132,44,Male,Married,Non-Travel,3,Medical,"Research & Development","Laboratory Technician",17,3,2,1,2,4,23,3,2,2042,25043,489,67,12,1,3,3,2,2,4,3,No,No
133,37,Male,Divorced,Travel_Rarely,4,"Human Resources","Human Resources","Human Resources",7,3,2,0,2,4,6,3,1,2073,23648,807,63,22,0,4,3,1,3,3,4,Yes,Yes
134,32,Male,Single,Travel_Rarely,1,"Life Sciences","Research & Development","Research Scientist",1,1,0,0,0,1,1,2,1,2956,15178,827,71,13,0,3,3,1,4,3,4,No,No
137,20,Female,Single,Travel_Frequently,3,"Life Sciences","Research & Development","Laboratory Technician",1,1,0,1,0,1,6,5,1,2926,19783,871,66,18,0,3,2,4,4,3,2,Yes,Yes
138,34,Female,Single,Travel_Rarely,4,Other,"Research & Development","Research Scientist",16,16,13,2,10,1,6,3,2,4809,12482,665,41,14,0,3,3,3,1,3,3,No,No
139,37,Male,Divorced,Non-Travel,2,"Life Sciences","Research & Development","Healthcare Representative",17,1,0,0,0,5,2,2,2,5163,15850,1040,100,14,1,3,2,4,3,4,4,No,No
140,59,Female,Married,Non-Travel,4,"Human Resources","Human Resources",Manager,30,3,2,2,2,9,2,3,5,18844,21922,1420,32,21,1,4,2,4,3,3,4,No,No
141,50,Female,Married,Travel_Frequently,3,"Life Sciences","Research & Development","Research Director",28,8,3,0,7,3,1,1,5,18172,9755,1115,73,19,0,3,3,2,1,2,1,No,Yes
142,25,Male,Single,Travel_Rarely,3,Marketing,Sales,"Sales Executive",6,6,4,0,3,1,5,1,2,5744,26959,240,46,11,0,3,2,3,3,3,4,Yes,Yes
143,25,Male,Married,Travel_Rarely,1,Medical,"Research & Development","Research Scientist",2,2,2,2,1,1,7,2,1,2889,26897,1280,64,11,2,3,2,4,4,3,3,No,No
144,22,Female,Single,Travel_Rarely,3,Medical,"Research & Development","Laboratory Technician",1,0,0,0,0,1,15,5,1,2871,23785,534,59,15,0,3,3,4,2,3,3,No,No
145,51,Female,Single,Travel_Frequently,4,Medical,"Research & Development","Healthcare Representative",23,13,12,12,8,3,1,1,3,7484,25796,1456,30,20,0,4,2,1,1,2,3,No,No
147,34,Male,Single,Travel_Frequently,3,"Life Sciences","Research & Development","Laboratory Technician",9,9,7,0,6,1,7,3,2,6074,22887,658,66,24,0,4,1,3,1,3,4,Yes,Yes
148,54,Female,Single,Non-Travel,3,"Human Resources","Human Resources",Manager,23,5,3,4,4,2,26,3,4,17328,13871,142,30,12,0,3,4,4,4,3,3,No,Yes
150,24,Male,Married,Travel_Rarely,1,"Life Sciences","Research & Development","Laboratory Technician",6,5,3,1,2,0,18,2,1,2774,13257,1127,52,12,1,3,3,3,2,3,3,No,No
151,34,Female,Divorced,Travel_Rarely,4,"Life Sciences","Research & Development","Research Scientist",12,1,0,0,0,6,6,3,2,4505,15000,1031,45,15,1,3,2,2,3,3,3,No,No
152,37,Male,Single,Travel_Rarely,3,"Life Sciences",Sales,"Sales Executive",12,5,3,1,3,2,3,3,3,7428,14506,1189,87,12,0,3,3,4,3,3,1,No,No
153,34,Female,Single,Travel_Rarely,3,Medical,"Research & Development",Manager,14,11,10,5,8,2,5,6,3,11631,5615,1354,45,12,0,3,2,1,3,3,4,No,No
154,36,Female,Married,Travel_Frequently,2,"Technical Degree",Sales,"Sales Executive",10,9,7,2,8,0,11,6,3,9738,22952,1467,92,14,1,3,3,4,2,3,3,No,No
155,36,Female,Divorced,Travel_Rarely,2,"Life Sciences","Research & Development","Laboratory Technician",7,1,0,0,0,5,3,2,1,2835,2561,922,39,22,1,4,3,4,1,3,1,No,No
158,43,Male,Married,Travel_Frequently,2,"Life Sciences",Sales,Manager,25,25,12,4,12,1,26,3,4,16959,19494,394,92,12,2,3,3,4,3,4,4,No,Yes
159,30,Male,Divorced,Travel_Frequently,3,"Life Sciences","Research & Development","Research Scientist",10,10,7,0,9,1,23,2,1,2613,22310,1312,96,25,3,4,1,3,1,2,3,No,No
160,33,Male,Married,Non-Travel,2,Marketing,Sales,"Sales Executive",8,7,7,0,7,0,22,2,2,6146,15480,750,95,13,1,3,3,2,3,4,1,No,No
161,56,Female,Married,Travel_Rarely,4,"Life Sciences","Research & Development","Research Scientist",7,5,4,4,3,9,14,2,1,4963,4510,441,72,18,3,3,3,2,2,3,1,Yes,Yes
162,51,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Research Director",23,20,18,15,15,7,6,5,5,19537,6462,684,51,13,0,3,3,3,1,3,3,No,No
163,31,Male,Married,Travel_Rarely,4,"Life Sciences",Sales,"Sales Executive",12,7,7,7,7,4,6,3,2,6172,20739,249,76,18,0,3,1,3,2,2,2,Yes,Yes
164,26,Female,Married,Travel_Rarely,3,Other,"Research & Development","Research Scientist",5,5,4,4,3,1,6,3,1,2368,23300,841,46,19,0,3,2,2,3,2,3,No,No
165,58,Female,Married,Travel_Rarely,4,Medical,"Research & Development","Healthcare Representative",40,40,10,15,6,1,23,3,3,10312,3465,147,94,12,1,3,3,4,4,2,4,Yes,No
167,19,Male,Single,Travel_Rarely,1,Marketing,Sales,"Sales Representative",0,0,0,0,0,1,22,2,1,1675,26820,528,50,19,0,3,3,3,4,2,4,Yes,Yes
169,22,Male,Married,Travel_Rarely,1,"Technical Degree","Research & Development","Laboratory Technician",3,2,1,2,1,0,2,2,1,2523,19299,594,100,14,1,3,3,4,3,3,3,No,No
170,49,Female,Married,Travel_Rarely,4,Medical,"Research & Development","Manufacturing Director",16,15,11,5,11,1,20,2,2,6567,5549,470,96,14,0,3,3,1,3,2,3,No,No
171,43,Female,Single,Travel_Frequently,3,Medical,"Research & Development","Research Scientist",18,3,2,1,2,4,28,2,1,4739,16090,957,72,12,0,3,4,3,2,3,4,No,No
174,50,Female,Single,Travel_Frequently,3,Marketing,Sales,"Sales Executive",16,2,2,2,1,4,12,3,3,9208,6645,809,77,11,0,3,3,4,3,3,4,No,No
175,31,Female,Married,Travel_Rarely,3,"Life Sciences",Sales,"Sales Executive",4,2,2,2,2,3,20,2,2,4559,24788,542,71,11,1,3,1,3,2,3,3,Yes,Yes
176,41,Male,Divorced,Travel_Rarely,1,"Life Sciences",Sales,"Sales Executive",12,9,7,0,7,3,9,2,3,8189,21196,802,96,13,1,3,3,3,3,3,3,No,Yes
177,26,Female,Married,Travel_Rarely,1,"Life Sciences","Human Resources","Human Resources",8,8,7,5,7,1,25,3,1,2942,8916,1355,61,23,1,4,3,3,3,3,4,No,No
178,36,Male,Divorced,Travel_Rarely,2,Medical,"Research & Development","Manufacturing Director",7,3,2,0,1,6,6,0,2,4941,2819,216,84,20,2,4,3,2,2,3,4,No,No
179,51,Male,Single,Travel_Frequently,4,"Life Sciences","Research & Development","Manufacturing Director",18,4,2,0,3,2,8,2,3,10650,25150,1150,53,15,0,3,1,4,1,3,4,Yes,No
182,39,Female,Married,Travel_Rarely,4,"Life Sciences",Sales,"Sales Executive",17,15,11,5,9,4,4,1,2,5902,14590,1329,47,14,1,3,2,3,4,4,3,No,No
183,25,Male,Married,Travel_Rarely,3,"Life Sciences",Sales,"Sales Executive",6,2,2,2,2,2,28,3,2,8639,24835,959,41,18,0,3,2,3,1,3,4,No,No
184,30,Male,Married,Travel_Rarely,3,"Human Resources","Human Resources","Human Resources",12,11,9,4,7,0,9,2,2,6347,13982,1240,48,19,0,3,3,4,3,1,4,No,Yes
190,32,Female,Single,Travel_Rarely,3,Medical,"Research & Development","Laboratory Technician",10,5,4,0,4,7,9,2,1,4200,10224,1033,41,22,0,4,3,1,1,4,1,Yes,No
192,45,Male,Single,Travel_Rarely,3,Medical,"Research & Development","Research Scientist",9,6,5,0,3,5,29,2,1,3452,9752,1316,83,13,0,3,3,4,3,2,2,No,No
193,38,Female,Single,Travel_Rarely,5,"Technical Degree","Research & Development","Research Scientist",19,3,2,2,2,3,3,2,2,4317,2302,364,32,20,0,4,3,3,4,3,2,No,Yes
194,30,Female,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",5,5,4,0,4,1,18,4,1,2632,23910,438,75,14,0,3,3,3,1,2,3,No,No
195,32,Male,Divorced,Travel_Frequently,2,Medical,Sales,"Sales Executive",9,8,7,0,7,0,9,2,2,4668,22812,689,35,17,3,3,1,4,4,4,4,No,No
197,30,Female,Divorced,Travel_Rarely,3,"Technical Degree","Research & Development","Research Scientist",8,3,2,2,2,5,5,3,1,3204,10415,201,84,14,1,3,3,1,4,3,4,No,No
198,30,Male,Single,Travel_Rarely,1,Medical,"Research & Development","Laboratory Technician",6,5,3,1,2,0,2,3,1,2720,11162,1427,35,13,0,3,2,4,2,3,4,No,No
199,41,Male,Divorced,Travel_Frequently,3,"Life Sciences","Research & Development",Manager,21,7,6,7,7,4,10,2,4,17181,12888,857,91,13,1,3,2,1,4,2,2,No,No
200,41,Male,Married,Travel_Rarely,4,"Life Sciences","Research & Development","Laboratory Technician",7,5,0,1,4,2,9,2,1,2238,6961,933,94,21,1,4,3,1,3,3,4,No,No
